what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1346425802891
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1346425802892
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1346425802893
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1346425802894
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1346425802894
started,bundle,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.adt",1346425802894
started,bundle,com.android.ide.eclipse.base,20.0.3.v201208082019-427395,"com.android.ide.eclipse.base",1346425802895
started,bundle,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms",1346425802905
started,bundle,com.android.ide.eclipse.traceview,20.0.3.v201208082019-427395,"com.android.ide.eclipse.traceview",1346425802906
started,bundle,com.questoid.sqlitemanager,1.0.0,"com.questoid.sqlitemanager",1346425802906
os,sysinfo,,,"win32",1346425802909
arch,sysinfo,,,"x86_64",1346425802909
ws,sysinfo,,,"win32",1346425802909
locale,sysinfo,,,"en_US",1346425802909
processors,sysinfo,,,"4",1346425802909
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1346425802909
java.runtime.version,sysinfo,,,"1.7.0_04-b22",1346425802909
java.specification.name,sysinfo,,,"Java Platform API Specification",1346425802909
java.specification.vendor,sysinfo,,,"Oracle Corporation",1346425802909
java.specification.version,sysinfo,,,"1.7",1346425802909
java.vendor,sysinfo,,,"Oracle Corporation",1346425802909
java.version,sysinfo,,,"1.7.0_04",1346425802909
java.vm.info,sysinfo,,,"mixed mode",1346425802909
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1346425802909
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1346425802909
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1346425802909
java.vm.specification.version,sysinfo,,,"1.7",1346425802909
java.vm.vendor,sysinfo,,,"Oracle Corporation",1346425802909
java.vm.version,sysinfo,,,"23.0-b21",1346425802909
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1346425802938
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1346425804625
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1346425811245
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1346425811248
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1346425811917
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1346425811983
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1346425812224
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1346426355268
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1346426355462
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1346426355464
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1346426355964
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1346426356240
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1346426356293
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346426360939
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.open.hierarchy",1346426361018
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346426374905
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1346426376173
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346426394153
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.open.hierarchy",1346426394181
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346427320190
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1346427321098
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1346427323832
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346427325864
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346427443149
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1346427444041
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1346427606641
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1346427606727
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346427630261
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346427673622
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346427702436
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346427740621
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346427775446
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346427802742
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1346427804810
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1346427804841
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346427870347
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346427879044
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1346427894118
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1346427894575
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1346427894672
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1346427894819
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1346427906389
error,log,,,"No command output when running: 'am start -n ipcm.tool.kit/ipcm.tool.kit.Main -a android.intent.action.MAIN -c android.intent.category.LAUNCHER' on device 0403888A05019006",1346427929102
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346427956026
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346427964036
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1346427965413
opened,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1346427980347
started,bundle,org.eclipse.wb.os,1.3.0.r37x201202052311,"org.eclipse.wb.os",1346427983191
started,bundle,org.eclipse.wb.os.win32,1.3.0.r37x201202052311,"org.eclipse.wb.os.win32",1346427983224
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346427990954
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346428015691
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1346428023666
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1346428025609
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1346428051137
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1346428051466
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1346428066741
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1346428067997
opened,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.DeviceView",1346428074656
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.DeviceView",1346428074669
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1346428076666
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1346428077897
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1346428096552
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1346428097402
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346428121176
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346428169339
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1346428200624
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1346428202760
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1346428222567
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346428237825
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346428252481
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1346428252502
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1346428265801
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346428265855
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346428267826
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1346428269481
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1346428279558
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346428304585
